Case_ID,Country,Year,Institution,Event_Type,Sovereignty_Phenotype_Score,Globalism_Phenotype_Score,IusSpace_Dim12_IntegrationScore,Outcome,Crisis_Catalyzed,Notes
1,United Kingdom,2016,European Union,Withdrawal,0.74,0.33,3,Sovereignty_Wins,Yes,"Brexit referendum: Leave 52%. High sovereignty phenotype (Parliamentary sovereignty, opt-outs, dualism). Post-2008+2015 migration crisis."
2,United Kingdom,2020,European Union,Exit_Completed,0.82,0.25,2,Sovereignty_Wins,Yes,"Brexit finalized. UK reclaimed border control, regulatory autonomy. Sovereignty phenotype strengthened post-exit."
3,Spain,2017,Catalonia_Independence,Referendum_Repressed,0.68,0.42,4,Sovereignty_Central_Wins,No,Catalonia illegal referendum. Central state sovereignty (Spanish unity) defeats sub-state sovereignty claim. Art 155 invoked.
4,USA,2017,Trans-Pacific Partnership,Withdrawal,0.71,0.29,3,Sovereignty_Wins,No,"Trump withdraws from TPP day 1. 'America First' meme. High sovereignty phenotype, limited international integration."
5,USA,2017,Paris Climate Agreement,Withdrawal,0.71,0.29,3,Sovereignty_Wins,No,Trump exits Paris Agreement citing sovereignty over climate policy. Dualist tradition enables easy withdrawal.
6,Hungary,2010,European Union,Resistance_Ongoing,0.72,0.48,4,Sovereignty_Resists,Yes,Orbán 'illiberal democracy' challenges EU values. Rule of law backsliding. Constitutional amendments resist CJEU authority.
7,Hungary,2015,European Union,Migration_Defiance,0.78,0.42,4,Sovereignty_Resists,Yes,"Orbán refuses EU migrant quotas, builds border fence. 2015 migration crisis catalyzes sovereignty assertion."
8,Venezuela,2012,IACHR,Withdrawal,0.92,0.08,1,Sovereignty_Wins,No,Venezuela denounces IACHR. Authoritarian sovereignty phenotype. Zero compliance history.
9,Trinidad_Tobago,1998,IACHR,Withdrawal,0.75,0.25,2,Sovereignty_Wins,No,Trinidad withdraws from IACHR over death penalty dispute. Sovereignty assertion against supranational court.
10,Philippines,2018,International Criminal Court,Withdrawal,0.88,0.12,2,Sovereignty_Wins,No,Duterte withdraws from ICC citing sovereignty and colonial legacy. High sovereignty phenotype.
11,Rwanda,2016,African Court on Human Rights,Withdrawal,0.85,0.15,2,Sovereignty_Wins,No,Rwanda withdraws from African Court individual petition protocol. Authoritarian sovereignty.
12,Tanzania,2019,African Court on Human Rights,Withdrawal,0.82,0.18,2,Sovereignty_Wins,No,Tanzania follows Rwanda in withdrawing from African Court. Sovereignty over human rights adjudication.
13,Benin,2020,African Court on Human Rights,Withdrawal,0.79,0.21,3,Sovereignty_Wins,No,Benin withdraws from African Court. Pattern of sovereignty assertion across continent.
14,Poland,2015,European Union,Rule_of_Law_Conflict,0.68,0.52,5,Sovereignty_Resists,No,Poland judicial reforms defy CJEU. Constitutional Tribunal asserts Polish law > EU law. Ongoing conflict.
15,Poland,2021,European Union,Constitutional_Confrontation,0.73,0.47,5,Sovereignty_Resists,Yes,Polish Constitutional Tribunal rules EU law incompatible with constitution. Direct challenge to supremacy doctrine.
16,France,2017,European Union,Near_Exit,0.58,0.62,6,Globalism_Survives,No,Le Pen Frexit platform loses 66-34. Sovereignty meme strong (48% first round) but globalism holds.
17,France,2022,European Union,Near_Exit_2,0.61,0.59,6,Globalism_Survives,Yes,Le Pen again loses but closer (42%). Sovereignty phenotype rising. Post-COVID context.
18,Germany,2015,European Union,Migration_Crisis,0.42,0.78,8,Globalism_Strained,Yes,Merkel 'Wir schaffen das' welcomes 1M migrants. Globalism commitment but triggers sovereignty backlash (AfD rise).
19,Argentina,2017,IACHR,Fontevecchia_Resistance,0.64,0.56,6,Sovereignty_Resists,No,Argentina initially resists IACHR Fontevecchia ruling. CSJN asserts sovereignty. Later complies partially.
20,Argentina,2024,IACHR,Compliance_Restored,0.58,0.62,6,Globalism_Wins,No,Argentina complies with multiple IACHR rulings post-Fernández. Sovereignty phenotype moderated.
21,Netherlands,1990,European Union,Maastricht_Integration,0.15,0.95,9,Globalism_Wins,No,"Netherlands among strongest EU integrationists. Monist tradition, direct effect, constitutional supremacy of treaties."
22,Costa_Rica,1995,IACHR,Full_Compliance,0.12,0.94,8,Globalism_Wins,No,Costa Rica 100% IACHR compliance. Sala IV gives treaties constitutional rank. Ultra-low sovereignty phenotype.
23,Russia,2022,Council_of_Europe,Expulsion,0.95,0.05,1,Sovereignty_Total,Yes,Russia expelled from CoE post-Ukraine invasion. Constitutional amendments 2020 asserted Russian law supremacy.
24,USA,2001,Kyoto_Protocol,Non_Ratification,0.72,0.28,3,Sovereignty_Wins,No,Bush refuses Kyoto ratification. Dualist tradition + Senate sovereignty over treaties.
25,China,1990,International_System,Selective_Integration,0.89,0.21,2,Sovereignty_Dominant,No,China joins WTO but rejects ICJ jurisdiction. Selective integration preserving CCP sovereignty.
26,European_Union,1992,Maastricht_Treaty,Integration_Deepening,0.25,0.85,9,Globalism_Wins,No,"Maastricht creates EU citizenship, expands CJEU authority. Sovereignty pooling reaches peak."
27,European_Union,1985,Schengen_Agreement,Borderless_Europe,0.18,0.92,10,Globalism_Wins,No,Schengen abolishes internal borders. Ultimate globalism phenotype: border control surrendered.
28,Turkey,2016,European_Union,Integration_Stalled,0.78,0.42,4,Sovereignty_Wins,Yes,Erdoğan post-coup crackdown ends EU accession. Emergency powers invoked. Sovereignty over liberal democracy.
29,Switzerland,1992,European_Economic_Area,Rejection,0.68,0.52,5,Sovereignty_Wins,No,Swiss referendum rejects EEA membership. Direct democracy expresses sovereignty preference over integration.
30,Norway,1994,European_Union,Rejection,0.65,0.55,5,Sovereignty_Wins,No,Norway referendum rejects EU membership (second time). Sovereignty preference despite economic integration.
