reform_id,year,government,reform_name,legal_instrument,scope,main_provisions,legislative_outcome,judicial_outcome,union_response,implementation_status,reversal_mechanism,time_to_reversal_months,final_outcome,constitutional_challenge_filed,csjn_ruling,lock_in_dimension,notes
R01,1991,Menem,Ley Nacional de Empleo,Ley 24.013,National,"Probation period, temporary contracts, training contracts",Approved,Challenged,"Strike (3 days, partial)","Partial implementation","CSJN limitations + union pressure",24,Failed (70% provisions nullified),Yes,Pro-worker interpretation,Constitutional + Judicial,"First major flexibilization attempt post-dictatorship"
R02,1995,Menem,Ley de PyMEs - Small Firm Exemptions,Ley 24.467,SMEs only,"Reduced indemnifications for firms <40 employees, simplified procedures",Approved,Challenged,"Negotiated acquiescence",Implemented,"Provincial courts nullified, CSJN affirmed LCT primacy",36,Failed (reversed 2000),Yes,"Gonzalez (1999) - equal protection",Constitutional,"Created two-tier system, then unified upward"
R03,1998,Menem,Reforma Laboral - Flexibilization Package,Bill (rejected),National,"Limit ultraactivity, probation extension, performance pay",Rejected in Senate,N/A,General strike (48h),Never implemented,Legislative deadlock,0,Failed (never passed),N/A,N/A,Political,"CGT veto in Senate. Menem's first major legislative defeat"
R04,2000,De la Rúa,Ley de Reforma Laboral,Ley 25.250,National,"Probation 6 months, limit ultraactivity to 2 years, reduce indemnifications",Approved (with corruption scandal),Challenged,General strikes (multiple),Minimal implementation,"Repealed 2004 (Ley 25.877 - Kirchner), prior CSJN limitations",48,Failed (repealed + corruption taint),Yes,Multiple pro-worker rulings,Political + Constitutional,"Corruption scandal (bribes to senators) destroyed legitimacy"
R05,2004,Kirchner,Nueva Ley de Contrato de Trabajo - Reversion,Ley 25.877,National,Repealed De la Rúa reforms; strengthened protections,Approved,N/A,Union support,Fully implemented,N/A (anti-reform),N/A,Success (for labor protections),No,N/A,Institutional Path Dependency,"Demonstrates ratchet effect: easy to expand, impossible to contract"
R06,2004,Provincial,Córdoba Labor Flexibilization,Provincial Law,Córdoba only,"Provincial opt-out from some LCT provisions",Approved provincially,Challenged,Local strikes,"Blocked by federal courts",Federal supremacy + constitutional challenge,6,Failed (nullified),Yes,CSJN: LCT is federal minimum,Constitutional + Federal,"Demonstrated impossibility of provincial experimentation"
R07,2008,Provincial,San Luis - Provincial Labor Regime,Provincial Law 5349,San Luis only,"Separate provincial labor regime, reduced protections",Approved provincially,Challenged,CGT national intervention,Nullified,"Federal courts: LCT supremacy",18,Failed (completely nullified),Yes,Federal labor law supremacy,Constitutional + Federal,"Most ambitious provincial attempt. Total failure."
R08,2009,Cristina Kirchner,Trabajadores Rurales - Flexibilization,Decree attempt,Rural sector only,"Seasonal contract flexibility, reduced indemnifications",Abandoned before implementation,N/A,Preemptive strikes,Never implemented,"Political cost too high, withdrawn",0,Failed (abandoned),No,N/A,Political,"Demonstrates preemptive union veto power"
R09,2012,Cristina Kirchner,ART Reform - Limit Civil Litigation,Bill (rejected),National,"Attempt to re-close civil litigation pathway post-Castillo/Aquino",Rejected in committee,N/A,Union opposition (loss of litigation revenue),Never voted,Legislative capture,0,Failed (never passed),N/A,N/A,Political + Institutional,"Post-CSJN Aquino (2004), attempt to salvage ART exclusivity. Impossible."
R10,2014,Provincial,Mendoza - Agricultural Flexibility,Provincial Decree,Mendoza only,"Temporary contracts for harvest season, reduced benefits",Issued,Challenged,Local union strikes,Injunction,"Provincial courts blocked implementation",3,Failed (enjoined),Yes,Provincial court nullification,Constitutional,"Even modest sectoral flexibility impossible"
R11,2016,Macri,DNU 267/2015 - Emergency Labor Measures,Executive decree,National,"Simplified dismissal procedures, extended probation",Issued,Challenged immediately,"CGT opposition, no strikes (political negotiation phase)",Suspended by courts,"Constitutional challenge: DNU cannot modify laws of Congress",2,Failed (nullified),Yes,"Federal courts: DNU limits",Constitutional + Institutional,"First test of Macri's reform capacity. Immediate failure."
R12,2017,Macri,Reforma Laboral - Comprehensive Bill,Bill (rejected),National,"Limit ultraactivity, reduce indemnizations, performance pay, probation 1 year",Deadlocked in Congress,N/A,General strike + political pressure,Never passed,Legislative deadlock + union veto,12,Failed (withdrawn after deadlock),N/A,N/A,Political,"Macri's signature reform attempt. Complete failure despite electoral mandate."
R13,2017,Macri,Reforma Laboral - Diluted Version,Bill (rejected),National,"Minor tweaks to probation, youth employment incentives",Rejected in Senate,N/A,CGT opposition,Never passed,Senate opposition (Peronist bloc),6,Failed,N/A,N/A,Political,"Even diluted version failed. Demonstrated impossibility even with economic crisis."
R14,2018,Provincial,CABA - Local Public Sector Flexibility,Local Law,Buenos Aires City,"Public sector employment flexibility (CABA jurisdiction)",Approved locally,Challenged,Public sector strikes,Partial implementation,Federal court limitations + political reversal,24,Failed (partially reversed),Yes,Federal labor law primacy,Constitutional,"Even city-level public sector reforms fail"
