Case_ID,Country,Year,Conflict_Type,Winner,Sov_Narrative,Glob_Narrative
ARG-URU-2006,Argentina,2006,Environmental,Sovereignty,"Uruguay viola soberanía argentina sobre río compartido. La construcción de la planta de celulosa contamina nuestros recursos naturales. Defensa de la patria contra intereses extranjeros. El río es nuestro.","Los tratados internacionales sobre ríos compartidos requieren cooperación bilateral. La planta cumple estándares ambientales establecidos por organismos técnicos internacionales. El desarrollo económico debe equilibrarse con protección ambiental mediante mecanismos de monitoreo multilateral."
UK-EU-2016,United Kingdom,2016,Constitutional,Sovereignty,"Recuperar control de nuestras fronteras y leyes. Bruselas dicta normas que no representan al pueblo británico. Soberanía parlamentaria o sumisión europea. Take back control.","La integración europea beneficia economías mediante mercado común y libre circulación. La interdependencia requiere armonización regulatoria. Los desafíos transnacionales como migración y cambio climático necesitan respuestas coordinadas supranacionales."
USA-ICC-2002,United States,2002,International Law,Sovereignty,"Tribunal ilegítimo persigue soldados americanos. Jurisdicción extranjera sobre ciudadanos estadounidenses es inaceptable. Defensa de la soberanía constitucional contra lawfare internacional.","La Corte Penal Internacional complementa sistemas nacionales cuando estos no pueden o no quieren investigar crímenes graves. El principio de complementariedad respeta jurisdicciones domésticas. La justicia internacional fortalece el Estado de derecho global."
HUN-EU-2015,Hungary,2015,Migration,Sovereignty,"Europa impone cuotas de refugiados contra voluntad del pueblo húngaro. Bruselas destruye identidad nacional y seguridad. Defensa de fronteras es defensa de civilización.","Las crisis migratorias requieren solidaridad europea y distribución equitativa de responsabilidades. Los tratados de la UE establecen obligaciones de cooperación. Los valores europeos incluyen protección de derechos humanos de refugiados."
VEN-IACHR-2012,Venezuela,2012,Human Rights,Sovereignty,"Corte colonial persigue gobierno bolivariano. Tribunales imperialistas violan soberanía venezolana. Rechazo total a jurisdicción extranjera sobre asuntos internos.","El sistema interamericano de derechos humanos protege a víctimas cuando Estados violan garantías fundamentales. La jurisdicción supranacional es voluntaria y basada en tratados ratificados. Los mecanismos regionales fortalecen protección de derechos."
POL-EU-2021,Poland,2021,Rule of Law,Sovereignty,"Constitución polaca es suprema sobre derecho europeo. Reforma judicial es decisión soberana de Polonia. Bruselas no puede dictar estructura de poderes estatales.","Los tratados europeos establecen primacía del derecho comunitario en áreas de competencia transferida. La independencia judicial es principio fundamental del Estado de derecho europeo. Los mecanismos de supervisión protegen valores democráticos compartidos."
BOL-ICSID-2007,Bolivia,2007,Investment,Sovereignty,"Nacionalización de hidrocarburos es derecho soberano del pueblo boliviano. Tribunales de arbitraje protegen intereses corporativos contra recursos naturales. Rechazo a CIADI.","Los tratados bilaterales de inversión protegen expectativas legítimas de inversores mediante arbitraje neutral. La expropiación requiere compensación adecuada. Los mecanismos de resolución de disputas promueven estabilidad jurídica y flujos de capital."
BRA-BELO-2013,Brazil,2013,Environmental,Compromise,"Represa Belo Monte es proyecto estratégico para desarrollo energético nacional. Derechos indígenas deben equilibrarse con necesidades del país. Soberanía sobre recursos naturales.","Los proyectos de infraestructura deben cumplir estándares de consulta previa a pueblos indígenas establecidos en Convenio 169 OIT. La Corte Interamericana exige evaluaciones de impacto ambiental rigurosas. Balance entre desarrollo y derechos requiere mecanismos participativos."
ECU-OXY-2008,Ecuador,2008,Investment,Sovereignty,"Terminación de TBI con EEUU es ejercicio legítimo de soberanía. Tribunales CIADI favorecen corporaciones sobre Estados. Ecuador retoma control de política regulatoria.","El retiro unilateral de tratados internacionales genera incertidumbre jurídica y afecta credibilidad. Los mecanismos de arbitraje internacional proveen foro neutral para resolver disputas. La terminación de TBIs requiere notificación adecuada y respeto de cláusulas de supervivencia."
CAT-ESP-2017,Catalonia,2017,Secession,Sovereignty,"Derecho a la autodeterminación del pueblo catalán. Madrid impone unidad española por la fuerza. Referéndum legítimo reprimido.","La Constitución española garantiza unidad territorial indivisible. Las competencias sobre referéndums de independencia corresponden al Estado central. El ordenamiento constitucional debe respetarse mediante cauces legales establecidos."
GRE-EU-2015,Greece,2015,Economic,Globalism,"Troika impone austeridad destructiva contra voluntad popular griega. Memorándums de entendimiento violan soberanía económica. Rechazo a condicionalidades externas.","Los programas de asistencia financiera de la UE requieren condicionalidades para garantizar sustentabilidad fiscal. Las reformas estructurales son necesarias para estabilidad macroeconómica. Los mecanismos de solidaridad europea tienen contrapartidas de responsabilidad fiscal."
ITA-EU-2018,Italy,2018,Fiscal,Compromise,"Presupuesto italiano es decisión soberana del gobierno electo. Bruselas no puede vetar política fiscal nacional. Flexibilidad presupuestaria vs rigidez europea.","El Pacto de Estabilidad y Crecimiento establece límites de déficit fiscal para países del euro. Las reglas fiscales comunes son necesarias para estabilidad de la moneda única. Los procedimientos de déficit excesivo protegen sostenibilidad de la zona euro."
PHI-ICC-2018,Philippines,2018,International Law,Sovereignty,"Retiro de CPI protege soberanía filipina contra persecución política. Tribunales internacionales son instrumentos neocoloniales. Justicia doméstica es suficiente.","La Corte Penal Internacional investiga crímenes cuando sistemas nacionales son incapaces o no están dispuestos. El retiro de la CPI no afecta jurisdicción sobre crímenes cometidos durante período de membresía. La cooperación internacional fortalece lucha contra impunidad."
TAN-ACHR-2019,Tanzania,2019,Human Rights,Sovereignty,"Retiro de protocolo de Corte Africana protege jurisdicción doméstica. Tribunales regionales interfieren en asuntos internos. Soberanía judicial tanzana.","Los mecanismos regionales de derechos humanos complementan sistemas nacionales. El acceso directo de individuos a tribunales regionales es garantía adicional de protección. La jurisdicción supranacional es basada en consentimiento estatal mediante ratificación."
