jurisdiction,domain,csi,cli,rei
New Zealand,Criminal,0.237,0.272,0.774
New Zealand,Labor,0.226,0.399,0.819
New Zealand,Constitutional,0.262,0.317,0.686
Norway,Criminal,0.248,0.25,0.694
Norway,Labor,0.265,0.314,0.553
Norway,Constitutional,0.257,0.315,0.741
Denmark,Criminal,0.311,0.353,0.762
Denmark,Labor,0.345,0.408,0.572
Denmark,Constitutional,0.248,0.273,0.826
Sweden,Criminal,0.322,0.428,0.69
Sweden,Labor,0.312,0.333,0.559
Sweden,Constitutional,0.279,0.377,0.572
Finland,Criminal,0.294,0.4,0.771
Finland,Labor,0.385,0.397,0.598
Finland,Constitutional,0.286,0.356,0.674
Netherlands,Criminal,0.333,0.396,0.748
Netherlands,Labor,0.398,0.524,0.638
Netherlands,Constitutional,0.317,0.392,0.657
Australia,Criminal,0.341,0.379,0.54
Australia,Labor,0.355,0.376,0.608
Australia,Constitutional,0.35,0.425,0.678
Canada,Criminal,0.339,0.369,0.636
Canada,Labor,0.387,0.307,0.649
Canada,Constitutional,0.327,0.387,0.704
UK,Criminal,0.382,0.435,0.492
UK,Labor,0.381,0.439,0.823
UK,Constitutional,0.4,0.421,0.576
Ireland,Criminal,0.389,0.499,0.68
Ireland,Labor,0.44,0.55,0.687
Ireland,Constitutional,0.402,0.402,0.563
Germany,Criminal,0.374,0.431,0.603
Germany,Labor,0.461,0.45,0.682
Germany,Constitutional,0.378,0.415,0.674
France,Criminal,0.466,0.419,0.569
France,Labor,0.519,0.467,0.604
France,Constitutional,0.469,0.514,0.579
Belgium,Criminal,0.484,0.524,0.606
Belgium,Labor,0.451,0.582,0.604
Belgium,Constitutional,0.468,0.464,0.461
Austria,Criminal,0.505,0.57,0.673
Austria,Labor,0.49,0.562,0.514
Austria,Constitutional,0.455,0.478,0.781
Switzerland,Criminal,0.46,0.497,0.548
Switzerland,Labor,0.563,0.561,0.528
Switzerland,Constitutional,0.457,0.47,0.624
Spain,Criminal,0.509,0.542,0.418
Spain,Labor,0.567,0.586,0.404
Spain,Constitutional,0.497,0.541,0.572
Italy,Criminal,0.57,0.623,0.417
Italy,Labor,0.615,0.637,0.735
Italy,Constitutional,0.547,0.572,0.499
Portugal,Criminal,0.544,0.534,0.494
Portugal,Labor,0.59,0.572,0.455
Portugal,Constitutional,0.52,0.543,0.422
Chile,Criminal,0.607,0.725,0.582
Chile,Labor,0.63,0.521,0.43
Chile,Constitutional,0.548,0.523,0.617
Uruguay,Criminal,0.567,0.664,0.5
Uruguay,Labor,0.601,0.619,0.571
Uruguay,Constitutional,0.547,0.624,0.428
Costa Rica,Criminal,0.561,0.559,0.623
Costa Rica,Labor,0.634,0.613,0.311
Costa Rica,Constitutional,0.6,0.593,0.403
Poland,Criminal,0.633,0.575,0.449
Poland,Labor,0.661,0.678,0.399
Poland,Constitutional,0.611,0.715,0.275
Czech Republic,Criminal,0.674,0.631,0.394
Czech Republic,Labor,0.693,0.64,0.429
Czech Republic,Constitutional,0.619,0.632,0.47
Slovenia,Criminal,0.67,0.69,0.429
Slovenia,Labor,0.655,0.608,0.486
Slovenia,Constitutional,0.607,0.647,0.499
Estonia,Criminal,0.61,0.582,0.507
Estonia,Labor,0.663,0.663,0.376
Estonia,Constitutional,0.64,0.54,0.371
South Korea,Criminal,0.563,0.603,0.522
South Korea,Labor,0.604,0.499,0.578
South Korea,Constitutional,0.513,0.555,0.469
