Case_ID,Country,Year,Crisis_Catalyzed,Sovereignty_Phenotype_Score,IusSpace_Dim12,Geographic_Region,Legal_Family
CONTROL_03,Belgium,2016,0,0.5637350965160981,6.3316698296376455,Europe,Common Law
CRISIS_01,Argentina,2018,1,0.5865743858343695,4.978353277034075,Europe,Civil Law
CONTROL_30,Portugal,2004,0,0.8971936615539551,5.145168664570487,Europe,Mixed
CRISIS_05,Argentina,2019,1,0.6847921024369605,4.455242145960377,LatAm,Civil Law
CONTROL_35,Denmark,2004,0,0.58134068286489,7.549218001261018,Europe,Mixed
CRISIS_19,Argentina,2015,1,0.8219905444874819,2.533013661373336,Europe,Civil Law
CRISIS_11,Poland,2022,1,0.8437199426995141,5.896920178674298,LatAm,Civil Law
CONTROL_14,Uruguay,2003,0,0.4837977494659018,8.074169207484903,Europe,Common Law
CONTROL_26,Belgium,2021,0,0.5678202291915163,6.660397425081629,Europe,Common Law
CRISIS_13,Italy,2017,1,0.5311013655667134,5.456929414837335,Europe,Civil Law
CONTROL_12,Netherlands,2010,0,0.7580996679742351,10.0,Europe,Mixed
CRISIS_10,Spain,2023,1,0.6187896091968859,3.73001189190425,Europe,Civil Law
CONTROL_48,Sweden,2002,0,0.5836361236204617,8.107626102752517,Europe,Civil Law
CRISIS_06,Hungary,2023,1,0.8135031161418005,2.84835336547525,Europe,Common Law
CONTROL_43,Chile,2022,0,0.8629289663758988,5.620964249051445,LatAm,Civil Law
CONTROL_11,Belgium,2015,0,0.6463067699441079,6.7115272940555215,Europe,Common Law
CONTROL_39,France,2018,0,0.3984411895962156,8.733786880403358,LatAm,Civil Law
CONTROL_16,Denmark,2022,0,0.7109413802375498,3.5034087252561386,North_America,Civil Law
CONTROL_38,Sweden,2011,0,0.6958990710155152,6.283004222872973,North_America,Civil Law
CONTROL_28,Sweden,2006,0,0.9883553936088694,10.0,LatAm,Common Law
CRISIS_17,Argentina,2017,1,0.7801737997829766,6.237279979398042,LatAm,Common Law
CONTROL_15,Chile,2006,0,0.4860158051829141,8.7098564369003,LatAm,Civil Law
CONTROL_23,Germany,2008,0,0.4861487855359832,9.264009208343886,Europe,Common Law
CONTROL_09,Uruguay,2017,0,0.7520275826054504,4.03827136713209,Asia,Civil Law
CRISIS_08,Hungary,2018,1,0.7462365979264635,5.822641558422916,LatAm,Civil Law
CONTROL_34,Sweden,2006,0,0.557812779926474,2.3124119919298742,LatAm,Civil Law
CONTROL_21,France,2009,0,0.6559771388776773,7.270634759457674,LatAm,Civil Law
CONTROL_25,Belgium,2022,0,0.6402526876655743,5.6811823388568845,Europe,Common Law
CONTROL_27,Denmark,2010,0,0.6396420028643194,4.344510444141388,LatAm,Civil Law
CRISIS_20,Greece,2021,1,0.7352414687246158,2.62583441580011,Europe,Civil Law
CONTROL_37,Netherlands,2011,0,0.8679025224218028,4.024369002346302,Europe,Civil Law
CONTROL_20,Germany,2019,0,0.5029809422897393,3.4703055506282707,Asia,Civil Law
CONTROL_06,Germany,2008,0,0.4814195512303967,5.367404540794456,Europe,Civil Law
CONTROL_19,Sweden,2005,0,0.6113801416677511,7.980681635895477,North_America,Mixed
CRISIS_14,Argentina,2017,1,0.7633674726610097,6.807054849698954,LatAm,Civil Law
CONTROL_31,France,2021,0,0.7718072535131351,9.03281371074575,Europe,Mixed
CRISIS_04,Greece,2017,1,0.7370957522863986,4.448021723658601,Europe,Common Law
CRISIS_18,Spain,2018,1,0.7316493059217648,5.952967485799334,LatAm,Common Law
CRISIS_09,Argentina,2023,1,0.7516183248276251,6.9626566740211135,Europe,Mixed
CONTROL_36,Germany,2004,0,0.7758949300348187,9.588949677415584,North_America,Mixed
CRISIS_07,Greece,2015,1,0.8187053894523827,2.668734525043466,Europe,Civil Law
CONTROL_17,Chile,2001,0,0.825051772199481,3.812952471865134,LatAm,Common Law
CONTROL_45,Germany,2003,0,0.5893439306567186,5.273810634183244,North_America,Mixed
CONTROL_50,Uruguay,2017,0,0.3927519111578182,6.6580180284881125,LatAm,Common Law
CONTROL_49,Colombia,2011,0,0.638335823541595,6.620465842978184,Europe,Civil Law
CRISIS_16,Brazil,2019,1,0.6558700255591794,2.257419193778496,LatAm,Civil Law
CONTROL_08,Uruguay,2000,0,0.6942019261484141,1.5606022698648054,Asia,Common Law
CONTROL_22,Denmark,2022,0,0.6387313077669,4.214059404338753,Asia,Common Law
CONTROL_07,Netherlands,2018,0,0.7631267421624404,7.71096626169535,Europe,Civil Law
CONTROL_29,France,2009,0,0.7872029615992429,5.242860505048587,Europe,Civil Law
CONTROL_05,Chile,2016,0,0.5097258234975459,9.268031437865355,LatAm,Common Law
CONTROL_40,Colombia,2001,0,0.62573678136014,3.0671511081120566,LatAm,Civil Law
CONTROL_44,Germany,2016,0,0.8258218210731494,6.542007683265518,Europe,Common Law
CRISIS_12,Argentina,2023,1,0.6124397780244837,4.332018269239588,Europe,Civil Law
CONTROL_13,Uruguay,2017,0,0.6562249517987208,4.066290215281522,LatAm,Common Law
CONTROL_47,Uruguay,2006,0,0.6281629840729628,4.705491257028337,Europe,Civil Law
CONTROL_42,Chile,2002,0,0.6268647609053778,6.734654766617564,Europe,Common Law
CONTROL_18,Belgium,2003,0,0.6362970096705034,6.225456365804368,Europe,Mixed
CONTROL_10,Germany,2001,0,0.7800728411643157,6.804841724518519,Europe,Civil Law
CONTROL_24,Belgium,2017,0,0.7072571529459072,10.0,LatAm,Common Law
CONTROL_46,Belgium,2014,0,0.7985312672537275,10.0,Europe,Mixed
CRISIS_02,Italy,2018,1,0.767109570048295,3.106222999604161,Europe,Common Law
CONTROL_33,Sweden,2021,0,0.6965729142219342,8.049268106858673,Europe,Civil Law
CONTROL_02,Netherlands,2016,0,0.6276774989982332,6.445247108829682,Europe,Common Law
CRISIS_03,Brazil,2020,1,0.8954853744415221,6.808072451421896,Europe,Civil Law
CONTROL_04,France,2020,0,0.6809731446279965,6.485239700110854,Europe,Common Law
CONTROL_01,Colombia,2011,0,0.5300909069654357,5.472425016983507,Europe,Civil Law
CONTROL_41,Chile,2003,0,0.6972973011078007,6.342536632664386,LatAm,Civil Law
CRISIS_15,Poland,2017,1,0.7304456481885805,4.051488974301199,Europe,Civil Law
CONTROL_32,Portugal,2004,0,0.4309752350796154,10.0,Europe,Civil Law
