Case_ID,Country,Year,Institution,Event_Type,Sovereignty_Phenotype_Score,Globalism_Phenotype_Score,IusSpace_Dim12_IntegrationScore,Outcome,Crisis_Catalyzed,Notes,Sovereignty_Win,Globalism_Win,Crisis_Binary,Cluster,PageRank
1,United Kingdom,2016,European Union,Withdrawal,0.74,0.33,3,Sovereignty_Wins,Yes,"Brexit referendum: Leave 52%. High sovereignty phenotype (Parliamentary sovereignty, opt-outs, dualism). Post-2008+2015 migration crisis.",1,0,1,2,0.03785533101469908
2,United Kingdom,2020,European Union,Exit_Completed,0.82,0.25,2,Sovereignty_Wins,Yes,"Brexit finalized. UK reclaimed border control, regulatory autonomy. Sovereignty phenotype strengthened post-exit.",1,0,1,2,0.053607804453713825
3,Spain,2017,Catalonia_Independence,Referendum_Repressed,0.68,0.42,4,Sovereignty_Central_Wins,No,Catalonia illegal referendum. Central state sovereignty (Spanish unity) defeats sub-state sovereignty claim. Art 155 invoked.,1,0,0,0,0.019224725455841987
4,USA,2017,Trans-Pacific Partnership,Withdrawal,0.71,0.29,3,Sovereignty_Wins,No,"Trump withdraws from TPP day 1. 'America First' meme. High sovereignty phenotype, limited international integration.",1,0,0,0,0.019224725455841987
5,USA,2017,Paris Climate Agreement,Withdrawal,0.71,0.29,3,Sovereignty_Wins,No,Trump exits Paris Agreement citing sovereignty over climate policy. Dualist tradition enables easy withdrawal.,1,0,0,0,0.019224725455841987
6,Hungary,2010,European Union,Resistance_Ongoing,0.72,0.48,4,Sovereignty_Resists,Yes,Orbán 'illiberal democracy' challenges EU values. Rule of law backsliding. Constitutional amendments resist CJEU authority.,1,0,1,0,0.020710293234363606
7,Hungary,2015,European Union,Migration_Defiance,0.78,0.42,4,Sovereignty_Resists,Yes,"Orbán refuses EU migrant quotas, builds border fence. 2015 migration crisis catalyzes sovereignty assertion.",1,0,1,0,0.0232991251218272
8,Venezuela,2012,IACHR,Withdrawal,0.92,0.08,1,Sovereignty_Wins,No,Venezuela denounces IACHR. Authoritarian sovereignty phenotype. Zero compliance history.,1,0,0,3,0.030156371753450994
9,Trinidad_Tobago,1998,IACHR,Withdrawal,0.75,0.25,2,Sovereignty_Wins,No,Trinidad withdraws from IACHR over death penalty dispute. Sovereignty assertion against supranational court.,1,0,0,0,0.022726420933785803
10,Philippines,2018,International Criminal Court,Withdrawal,0.88,0.12,2,Sovereignty_Wins,No,Duterte withdraws from ICC citing sovereignty and colonial legacy. High sovereignty phenotype.,1,0,0,3,0.019224725455841987
11,Rwanda,2016,African Court on Human Rights,Withdrawal,0.85,0.15,2,Sovereignty_Wins,No,Rwanda withdraws from African Court individual petition protocol. Authoritarian sovereignty.,1,0,0,3,0.019224725455841987
12,Tanzania,2019,African Court on Human Rights,Withdrawal,0.82,0.18,2,Sovereignty_Wins,No,Tanzania follows Rwanda in withdrawing from African Court. Sovereignty over human rights adjudication.,1,0,0,3,0.027395348237710896
13,Benin,2020,African Court on Human Rights,Withdrawal,0.79,0.21,3,Sovereignty_Wins,No,Benin withdraws from African Court. Pattern of sovereignty assertion across continent.,1,0,0,3,0.050682055792029265
14,Poland,2015,European Union,Rule_of_Law_Conflict,0.68,0.52,5,Sovereignty_Resists,No,Poland judicial reforms defy CJEU. Constitutional Tribunal asserts Polish law > EU law. Ongoing conflict.,1,0,0,0,0.0232991251218272
15,Poland,2021,European Union,Constitutional_Confrontation,0.73,0.47,5,Sovereignty_Resists,Yes,Polish Constitutional Tribunal rules EU law incompatible with constitution. Direct challenge to supremacy doctrine.,1,0,1,0,0.07354309792804749
16,France,2017,European Union,Near_Exit,0.58,0.62,6,Globalism_Survives,No,Le Pen Frexit platform loses 66-34. Sovereignty meme strong (48% first round) but globalism holds.,0,1,0,0,0.03902333071954005
17,France,2022,European Union,Near_Exit_2,0.61,0.59,6,Globalism_Survives,Yes,Le Pen again loses but closer (42%). Sovereignty phenotype rising. Post-COVID context.,0,1,1,0,0.10306789802790121
18,Germany,2015,European Union,Migration_Crisis,0.42,0.78,8,Globalism_Strained,Yes,Merkel 'Wir schaffen das' welcomes 1M migrants. Globalism commitment but triggers sovereignty backlash (AfD rise).,0,1,1,1,0.02325397088585618
19,Argentina,2017,IACHR,Fontevecchia_Resistance,0.64,0.56,6,Sovereignty_Resists,No,Argentina initially resists IACHR Fontevecchia ruling. CSJN asserts sovereignty. Later complies partially.,1,0,0,1,0.046177344954177316
20,Argentina,2024,IACHR,Compliance_Restored,0.58,0.62,6,Globalism_Wins,No,Argentina complies with multiple IACHR rulings post-Fernández. Sovereignty phenotype moderated.,0,1,0,1,0.07838257609418044
21,Netherlands,1990,European Union,Maastricht_Integration,0.15,0.95,9,Globalism_Wins,No,"Netherlands among strongest EU integrationists. Monist tradition, direct effect, constitutional supremacy of treaties.",0,1,0,4,0.019224725455841987
22,Costa_Rica,1995,IACHR,Full_Compliance,0.12,0.94,8,Globalism_Wins,No,Costa Rica 100% IACHR compliance. Sala IV gives treaties constitutional rank. Ultra-low sovereignty phenotype.,0,1,0,4,0.019224725455841987
23,Russia,2022,Council_of_Europe,Expulsion,0.95,0.05,1,Sovereignty_Total,Yes,Russia expelled from CoE post-Ukraine invasion. Constitutional amendments 2020 asserted Russian law supremacy.,1,0,1,3,0.05839847800530423
